,HAPPY,LIFE,AGE,CONINC,PARTYID,SOCOMMUN,SOCFREND,SOCBAR,SOCREL,HAPPARTNER,FAIR_C,TRUST_C,HELPFUl_C,CONINC_CAT,PARTYID_CAT
2296,2.0,,68.0,30240.0,4.0,5.0,4.0,3.0,6.0,2.0,2.0,2.0,1.0,"$30,000-39,999","INDEPENDENT, CLOSE TO REPUBLICAN"
2297,2.0,1.0,80.0,25200.0,5.0,,,,,1.0,1.0,1.0,1.0,"$25,000-29,999",NOT VERY STRONG REPUBLICAN
2300,1.0,1.0,53.0,7560.0,,,,,,,1.0,2.0,2.0,"$7,000-7,999",
2303,3.0,1.0,70.0,,5.0,,,,,1.0,2.0,2.0,3.0,,NOT VERY STRONG REPUBLICAN
2304,1.0,2.0,25.0,36960.0,3.0,,,,,1.0,1.0,2.0,2.0,"$30,000-39,999","INDEPENDENT (NEITHER, NO RESPONSE)"
2306,3.0,2.0,21.0,12600.0,4.0,,,,,,2.0,1.0,2.0,"$12,000-14,999","INDEPENDENT, CLOSE TO REPUBLICAN"
2313,2.0,,32.0,45360.0,6.0,6.0,6.0,7.0,5.0,1.0,3.0,2.0,3.0,"$40,000-49,999",STRONG REPUBLICAN
2314,2.0,1.0,63.0,45360.0,3.0,,,,,,1.0,2.0,2.0,"$40,000-49,999","INDEPENDENT (NEITHER, NO RESPONSE)"
2315,3.0,,33.0,25200.0,2.0,3.0,5.0,3.0,3.0,,1.0,2.0,2.0,"$25,000-29,999","INDEPENDENT, CLOSE TO DEMOCRAT"
2317,3.0,,77.0,336.0,0.0,4.0,6.0,3.0,4.0,,3.0,3.0,3.0,$1-999,STRONG DEMOCRAT
2320,2.0,2.0,25.0,67200.0,0.0,,,,,1.0,2.0,3.0,3.0,"$50,000-74,999",STRONG DEMOCRAT
2327,3.0,2.0,,3024.0,3.0,,,,,,1.0,2.0,2.0,"$3,000-3,999","INDEPENDENT (NEITHER, NO RESPONSE)"
2329,2.0,,36.0,7560.0,3.0,7.0,7.0,7.0,5.0,1.0,1.0,2.0,2.0,"$7,000-7,999","INDEPENDENT (NEITHER, NO RESPONSE)"
2332,2.0,1.0,67.0,36960.0,0.0,,,,,,1.0,2.0,1.0,"$30,000-39,999",STRONG DEMOCRAT
2336,1.0,,43.0,55440.0,1.0,3.0,3.0,7.0,7.0,,2.0,1.0,1.0,"$50,000-74,999",NOT VERY STRONG DEMOCRAT
2337,3.0,1.0,25.0,,3.0,,,,,,1.0,3.0,3.0,,"INDEPENDENT (NEITHER, NO RESPONSE)"
2340,1.0,1.0,68.0,168736.0,3.0,,,,,1.0,3.0,2.0,2.0,"$100,000-999,999","INDEPENDENT (NEITHER, NO RESPONSE)"
2341,2.0,,37.0,55440.0,1.0,7.0,4.0,7.0,2.0,,1.0,2.0,2.0,"$50,000-74,999",NOT VERY STRONG DEMOCRAT
2345,3.0,2.0,38.0,45360.0,1.0,,,,,,1.0,2.0,2.0,"$40,000-49,999",NOT VERY STRONG DEMOCRAT
2347,3.0,2.0,27.0,30240.0,3.0,,,,,,1.0,3.0,2.0,"$30,000-39,999","INDEPENDENT (NEITHER, NO RESPONSE)"
2349,2.0,,69.0,45360.0,3.0,4.0,6.0,7.0,6.0,,2.0,1.0,3.0,"$40,000-49,999","INDEPENDENT (NEITHER, NO RESPONSE)"
2350,2.0,,28.0,,3.0,5.0,4.0,3.0,5.0,,1.0,2.0,2.0,,"INDEPENDENT (NEITHER, NO RESPONSE)"
2353,2.0,,82.0,36960.0,5.0,3.0,3.0,7.0,2.0,,2.0,2.0,1.0,"$30,000-39,999",NOT VERY STRONG REPUBLICAN
2357,2.0,,34.0,21840.0,3.0,7.0,4.0,4.0,4.0,,3.0,3.0,3.0,"$20,000-24,999","INDEPENDENT (NEITHER, NO RESPONSE)"
2360,3.0,,39.0,25200.0,4.0,6.0,7.0,7.0,6.0,2.0,3.0,3.0,2.0,"$25,000-29,999","INDEPENDENT, CLOSE TO REPUBLICAN"
2361,3.0,,30.0,6048.0,3.0,4.0,3.0,6.0,3.0,,1.0,2.0,2.0,"$6,000-6,999","INDEPENDENT (NEITHER, NO RESPONSE)"
2362,3.0,2.0,,21840.0,6.0,,,,,,1.0,2.0,2.0,"$20,000-24,999",STRONG REPUBLICAN
2363,3.0,,53.0,36960.0,6.0,5.0,4.0,7.0,2.0,,1.0,2.0,2.0,"$30,000-39,999",STRONG REPUBLICAN
2364,3.0,,35.0,25200.0,6.0,1.0,2.0,7.0,2.0,2.0,1.0,2.0,2.0,"$25,000-29,999",STRONG REPUBLICAN
2366,3.0,3.0,47.0,25200.0,5.0,,,,,,1.0,2.0,2.0,"$25,000-29,999",NOT VERY STRONG REPUBLICAN
2369,3.0,,64.0,36960.0,3.0,7.0,6.0,6.0,5.0,3.0,1.0,2.0,2.0,"$30,000-39,999","INDEPENDENT (NEITHER, NO RESPONSE)"
2371,1.0,,66.0,45360.0,2.0,7.0,4.0,2.0,5.0,1.0,2.0,1.0,1.0,"$40,000-49,999","INDEPENDENT, CLOSE TO DEMOCRAT"
2372,2.0,,66.0,18480.0,0.0,7.0,7.0,7.0,7.0,,3.0,2.0,3.0,"$15,000-19,999",STRONG DEMOCRAT
2373,2.0,,42.0,25200.0,0.0,7.0,7.0,7.0,6.0,,1.0,2.0,2.0,"$25,000-29,999",STRONG DEMOCRAT
2375,1.0,1.0,63.0,,3.0,,,,,1.0,3.0,3.0,3.0,,"INDEPENDENT (NEITHER, NO RESPONSE)"
2376,3.0,,28.0,14280.0,3.0,7.0,2.0,3.0,1.0,,2.0,2.0,1.0,"$12,000-14,999","INDEPENDENT (NEITHER, NO RESPONSE)"
2382,2.0,1.0,69.0,94080.0,4.0,,,,,1.0,2.0,2.0,2.0,"$75,000-99,999","INDEPENDENT, CLOSE TO REPUBLICAN"
2384,1.0,,71.0,,5.0,4.0,3.0,7.0,7.0,1.0,2.0,1.0,1.0,,NOT VERY STRONG REPUBLICAN
2385,2.0,,52.0,,3.0,4.0,5.0,5.0,3.0,2.0,2.0,1.0,2.0,,"INDEPENDENT (NEITHER, NO RESPONSE)"
2386,2.0,,49.0,80640.0,6.0,4.0,4.0,4.0,2.0,3.0,2.0,1.0,1.0,"$75,000-99,999",STRONG REPUBLICAN
2387,1.0,1.0,65.0,107520.0,0.0,,,,,1.0,3.0,1.0,3.0,"$100,000-999,999",STRONG DEMOCRAT
2388,3.0,1.0,48.0,168736.0,1.0,,,,,,2.0,3.0,1.0,"$100,000-999,999",NOT VERY STRONG DEMOCRAT
2389,2.0,,73.0,18480.0,6.0,7.0,3.0,7.0,2.0,2.0,2.0,1.0,2.0,"$15,000-19,999",STRONG REPUBLICAN
2390,2.0,,56.0,168736.0,2.0,2.0,5.0,5.0,2.0,2.0,2.0,1.0,1.0,"$100,000-999,999","INDEPENDENT, CLOSE TO DEMOCRAT"
2392,2.0,2.0,47.0,168736.0,2.0,,,,,3.0,1.0,2.0,2.0,"$100,000-999,999","INDEPENDENT, CLOSE TO DEMOCRAT"
2397,2.0,,,168736.0,5.0,6.0,5.0,7.0,4.0,1.0,2.0,2.0,1.0,"$100,000-999,999",NOT VERY STRONG REPUBLICAN
2398,2.0,2.0,,,3.0,,,,,1.0,1.0,2.0,2.0,,"INDEPENDENT (NEITHER, NO RESPONSE)"
2399,3.0,,58.0,67200.0,6.0,7.0,7.0,7.0,4.0,,2.0,2.0,1.0,"$50,000-74,999",STRONG REPUBLICAN
2405,2.0,,77.0,30240.0,4.0,2.0,5.0,2.0,3.0,,2.0,1.0,1.0,"$30,000-39,999","INDEPENDENT, CLOSE TO REPUBLICAN"
2409,2.0,2.0,76.0,18480.0,3.0,,,,,,1.0,2.0,1.0,"$15,000-19,999","INDEPENDENT (NEITHER, NO RESPONSE)"
2414,2.0,,31.0,,0.0,4.0,5.0,5.0,2.0,,3.0,3.0,3.0,,STRONG DEMOCRAT
2416,2.0,,70.0,18480.0,1.0,7.0,6.0,6.0,2.0,,3.0,3.0,3.0,"$15,000-19,999",NOT VERY STRONG DEMOCRAT
2421,2.0,2.0,70.0,80640.0,0.0,,,,,1.0,2.0,1.0,1.0,"$75,000-99,999",STRONG DEMOCRAT
2422,2.0,2.0,40.0,36960.0,0.0,,,,,1.0,3.0,3.0,3.0,"$30,000-39,999",STRONG DEMOCRAT
2425,2.0,,,,6.0,4.0,4.0,6.0,4.0,2.0,1.0,2.0,3.0,,STRONG REPUBLICAN
2426,1.0,2.0,,,3.0,,,,,1.0,3.0,2.0,2.0,,"INDEPENDENT (NEITHER, NO RESPONSE)"
2427,2.0,,23.0,80640.0,2.0,3.0,4.0,6.0,6.0,,1.0,2.0,1.0,"$75,000-99,999","INDEPENDENT, CLOSE TO DEMOCRAT"
2436,2.0,,43.0,36960.0,2.0,7.0,5.0,7.0,6.0,3.0,1.0,3.0,3.0,"$30,000-39,999","INDEPENDENT, CLOSE TO DEMOCRAT"
2437,2.0,,25.0,2352.0,7.0,7.0,7.0,7.0,7.0,,3.0,3.0,2.0,"$2,000-2,999",OTHER PARTY 
2438,3.0,2.0,38.0,15960.0,2.0,,,,,,1.0,2.0,2.0,"$15,000-19,999","INDEPENDENT, CLOSE TO DEMOCRAT"
2440,1.0,2.0,37.0,18480.0,3.0,,,,,1.0,1.0,2.0,2.0,"$15,000-19,999","INDEPENDENT (NEITHER, NO RESPONSE)"
2443,2.0,,,67200.0,4.0,7.0,6.0,7.0,5.0,1.0,3.0,3.0,3.0,"$50,000-74,999","INDEPENDENT, CLOSE TO REPUBLICAN"
2444,3.0,,,,5.0,2.0,4.0,7.0,4.0,,1.0,2.0,2.0,,NOT VERY STRONG REPUBLICAN
2445,3.0,,25.0,12600.0,4.0,7.0,7.0,6.0,2.0,,3.0,2.0,2.0,"$12,000-14,999","INDEPENDENT, CLOSE TO REPUBLICAN"
2447,3.0,2.0,40.0,45360.0,7.0,,,,,2.0,1.0,3.0,3.0,"$40,000-49,999",OTHER PARTY 
2449,2.0,,66.0,30240.0,1.0,7.0,3.0,6.0,5.0,2.0,3.0,3.0,1.0,"$30,000-39,999",NOT VERY STRONG DEMOCRAT
2456,3.0,,50.0,55440.0,4.0,1.0,,5.0,1.0,3.0,1.0,2.0,2.0,"$50,000-74,999","INDEPENDENT, CLOSE TO REPUBLICAN"
2461,1.0,,31.0,80640.0,1.0,3.0,3.0,7.0,3.0,1.0,2.0,2.0,2.0,"$75,000-99,999",NOT VERY STRONG DEMOCRAT
2462,1.0,1.0,69.0,10920.0,3.0,,,,,1.0,2.0,2.0,1.0,"$10,000-10,999","INDEPENDENT (NEITHER, NO RESPONSE)"
2467,3.0,2.0,53.0,67200.0,7.0,,,,,1.0,2.0,1.0,1.0,"$50,000-74,999",OTHER PARTY 
2470,1.0,,79.0,80640.0,1.0,4.0,5.0,4.0,5.0,1.0,1.0,1.0,1.0,"$75,000-99,999",NOT VERY STRONG DEMOCRAT
2471,2.0,,72.0,15960.0,0.0,3.0,4.0,6.0,4.0,,2.0,3.0,1.0,"$15,000-19,999",STRONG DEMOCRAT
2478,1.0,,23.0,1344.0,4.0,7.0,3.0,3.0,1.0,,3.0,3.0,3.0,"$1,000-1,999 ","INDEPENDENT, CLOSE TO REPUBLICAN"
2479,3.0,,70.0,30240.0,0.0,7.0,,7.0,5.0,,3.0,2.0,3.0,"$30,000-39,999",STRONG DEMOCRAT
2481,3.0,,19.0,67200.0,3.0,7.0,1.0,7.0,3.0,,1.0,2.0,2.0,"$50,000-74,999","INDEPENDENT (NEITHER, NO RESPONSE)"
2483,3.0,,33.0,,2.0,7.0,7.0,7.0,7.0,3.0,3.0,3.0,3.0,,"INDEPENDENT, CLOSE TO DEMOCRAT"
2485,2.0,,69.0,25200.0,2.0,5.0,6.0,7.0,5.0,,1.0,2.0,2.0,"$25,000-29,999","INDEPENDENT, CLOSE TO DEMOCRAT"
2486,2.0,,34.0,336.0,0.0,7.0,2.0,7.0,1.0,,1.0,2.0,1.0,$1-999,STRONG DEMOCRAT
2487,2.0,2.0,26.0,18480.0,5.0,,,,,2.0,3.0,3.0,2.0,"$15,000-19,999",NOT VERY STRONG REPUBLICAN
2490,1.0,1.0,77.0,25200.0,5.0,,,,,1.0,3.0,1.0,3.0,"$25,000-29,999",NOT VERY STRONG REPUBLICAN
2492,1.0,,69.0,55440.0,0.0,7.0,4.0,5.0,5.0,1.0,2.0,1.0,1.0,"$50,000-74,999",STRONG DEMOCRAT
2493,3.0,1.0,68.0,18480.0,3.0,,,,,,1.0,2.0,1.0,"$15,000-19,999","INDEPENDENT (NEITHER, NO RESPONSE)"
2498,3.0,2.0,31.0,21840.0,2.0,,,,,,1.0,3.0,3.0,"$20,000-24,999","INDEPENDENT, CLOSE TO DEMOCRAT"
2499,2.0,1.0,29.0,15960.0,3.0,,,,,1.0,3.0,3.0,1.0,"$15,000-19,999","INDEPENDENT (NEITHER, NO RESPONSE)"
2505,2.0,1.0,28.0,30240.0,1.0,,,,,,1.0,2.0,2.0,"$30,000-39,999",NOT VERY STRONG DEMOCRAT
2508,2.0,,62.0,168736.0,4.0,5.0,6.0,4.0,5.0,,2.0,1.0,1.0,"$100,000-999,999","INDEPENDENT, CLOSE TO REPUBLICAN"
2509,1.0,2.0,79.0,30240.0,6.0,,,,,1.0,2.0,3.0,3.0,"$30,000-39,999",STRONG REPUBLICAN
2516,2.0,,50.0,12600.0,6.0,6.0,4.0,6.0,6.0,,1.0,2.0,1.0,"$12,000-14,999",STRONG REPUBLICAN
2531,1.0,,39.0,30240.0,0.0,2.0,4.0,7.0,1.0,1.0,1.0,2.0,1.0,"$30,000-39,999",STRONG DEMOCRAT
2539,2.0,2.0,39.0,80640.0,6.0,,,,,2.0,1.0,2.0,2.0,"$75,000-99,999",STRONG REPUBLICAN
2541,3.0,3.0,65.0,7560.0,5.0,,,,,,1.0,2.0,2.0,"$7,000-7,999",NOT VERY STRONG REPUBLICAN
2543,2.0,,27.0,80640.0,1.0,6.0,3.0,6.0,3.0,,2.0,3.0,1.0,"$75,000-99,999",NOT VERY STRONG DEMOCRAT
2552,2.0,1.0,63.0,168736.0,6.0,,,,,2.0,2.0,1.0,1.0,"$100,000-999,999",STRONG REPUBLICAN
2553,2.0,,36.0,,1.0,4.0,4.0,6.0,2.0,1.0,2.0,1.0,1.0,,NOT VERY STRONG DEMOCRAT
2555,2.0,,55.0,107520.0,0.0,4.0,5.0,4.0,3.0,1.0,2.0,1.0,1.0,"$100,000-999,999",STRONG DEMOCRAT
2559,1.0,2.0,50.0,,5.0,,,,,1.0,3.0,3.0,3.0,,NOT VERY STRONG REPUBLICAN
2564,3.0,,27.0,25200.0,3.0,5.0,3.0,4.0,2.0,,1.0,2.0,1.0,"$25,000-29,999","INDEPENDENT (NEITHER, NO RESPONSE)"
2565,3.0,2.0,47.0,,5.0,,,,,,3.0,3.0,2.0,,NOT VERY STRONG REPUBLICAN
2568,1.0,,48.0,94080.0,4.0,5.0,4.0,7.0,5.0,2.0,2.0,1.0,1.0,"$75,000-99,999","INDEPENDENT, CLOSE TO REPUBLICAN"
2570,2.0,2.0,62.0,55440.0,0.0,,,,,2.0,3.0,3.0,3.0,"$50,000-74,999",STRONG DEMOCRAT
2571,2.0,2.0,58.0,67200.0,2.0,,,,,,1.0,1.0,2.0,"$50,000-74,999","INDEPENDENT, CLOSE TO DEMOCRAT"
2576,2.0,2.0,,,2.0,,,,,,1.0,2.0,2.0,,"INDEPENDENT, CLOSE TO DEMOCRAT"
2579,2.0,1.0,52.0,94080.0,0.0,,,,,2.0,2.0,1.0,3.0,"$75,000-99,999",STRONG DEMOCRAT
2582,3.0,2.0,54.0,94080.0,4.0,,,,,,1.0,1.0,1.0,"$75,000-99,999","INDEPENDENT, CLOSE TO REPUBLICAN"
2583,3.0,2.0,71.0,18480.0,0.0,,,,,,2.0,1.0,1.0,"$15,000-19,999",STRONG DEMOCRAT
2587,2.0,2.0,75.0,45360.0,4.0,,,,,2.0,3.0,3.0,1.0,"$40,000-49,999","INDEPENDENT, CLOSE TO REPUBLICAN"
2593,2.0,2.0,43.0,45360.0,2.0,,,,,1.0,3.0,2.0,3.0,"$40,000-49,999","INDEPENDENT, CLOSE TO DEMOCRAT"
2594,1.0,1.0,47.0,55440.0,6.0,,,,,1.0,1.0,2.0,1.0,"$50,000-74,999",STRONG REPUBLICAN
2595,1.0,1.0,37.0,36960.0,6.0,,,,,,3.0,2.0,3.0,"$30,000-39,999",STRONG REPUBLICAN
2599,3.0,1.0,36.0,36960.0,5.0,,,,,,1.0,2.0,2.0,"$30,000-39,999",NOT VERY STRONG REPUBLICAN
2600,2.0,,25.0,25200.0,2.0,7.0,3.0,4.0,4.0,,1.0,1.0,1.0,"$25,000-29,999","INDEPENDENT, CLOSE TO DEMOCRAT"
2605,3.0,,67.0,336.0,3.0,7.0,3.0,5.0,3.0,,2.0,2.0,1.0,$1-999,"INDEPENDENT (NEITHER, NO RESPONSE)"
2606,3.0,,40.0,67200.0,3.0,7.0,7.0,5.0,4.0,2.0,1.0,2.0,2.0,"$50,000-74,999","INDEPENDENT (NEITHER, NO RESPONSE)"
2607,3.0,2.0,64.0,7560.0,4.0,,,,,,1.0,2.0,2.0,"$7,000-7,999","INDEPENDENT, CLOSE TO REPUBLICAN"
2610,3.0,,66.0,15960.0,3.0,5.0,5.0,7.0,7.0,,3.0,3.0,3.0,"$15,000-19,999","INDEPENDENT (NEITHER, NO RESPONSE)"
2611,2.0,2.0,83.0,15960.0,1.0,,,,,1.0,2.0,2.0,1.0,"$15,000-19,999",NOT VERY STRONG DEMOCRAT
2612,3.0,,54.0,55440.0,4.0,3.0,5.0,5.0,3.0,1.0,2.0,2.0,1.0,"$50,000-74,999","INDEPENDENT, CLOSE TO REPUBLICAN"
2616,3.0,,68.0,336.0,3.0,7.0,7.0,7.0,7.0,,3.0,2.0,3.0,$1-999,"INDEPENDENT (NEITHER, NO RESPONSE)"
2619,2.0,,39.0,45360.0,3.0,4.0,5.0,6.0,3.0,1.0,3.0,2.0,2.0,"$40,000-49,999","INDEPENDENT (NEITHER, NO RESPONSE)"
2624,2.0,1.0,72.0,45360.0,1.0,,,,,1.0,2.0,1.0,1.0,"$40,000-49,999",NOT VERY STRONG DEMOCRAT
2625,2.0,,43.0,,3.0,5.0,3.0,4.0,1.0,1.0,3.0,2.0,3.0,,"INDEPENDENT (NEITHER, NO RESPONSE)"
2631,3.0,,38.0,30240.0,3.0,7.0,5.0,6.0,2.0,,2.0,2.0,1.0,"$30,000-39,999","INDEPENDENT (NEITHER, NO RESPONSE)"
2633,1.0,,30.0,7560.0,0.0,7.0,6.0,6.0,3.0,,3.0,2.0,3.0,"$7,000-7,999",STRONG DEMOCRAT
2638,3.0,2.0,59.0,9240.0,2.0,,,,,,1.0,2.0,2.0,"$9,000-9,999","INDEPENDENT, CLOSE TO DEMOCRAT"
2639,2.0,2.0,42.0,94080.0,4.0,,,,,1.0,1.0,3.0,3.0,"$75,000-99,999","INDEPENDENT, CLOSE TO REPUBLICAN"
2640,2.0,,,107520.0,2.0,6.0,6.0,5.0,3.0,2.0,2.0,1.0,1.0,"$100,000-999,999","INDEPENDENT, CLOSE TO DEMOCRAT"
2641,1.0,1.0,43.0,168736.0,1.0,,,,,1.0,1.0,3.0,2.0,"$100,000-999,999",NOT VERY STRONG DEMOCRAT
2643,3.0,2.0,36.0,55440.0,0.0,,,,,2.0,3.0,3.0,3.0,"$50,000-74,999",STRONG DEMOCRAT
2644,3.0,2.0,34.0,,3.0,,,,,,1.0,2.0,3.0,,"INDEPENDENT (NEITHER, NO RESPONSE)"
2645,2.0,,30.0,21840.0,3.0,3.0,5.0,7.0,5.0,,1.0,1.0,1.0,"$20,000-24,999","INDEPENDENT (NEITHER, NO RESPONSE)"
2651,2.0,2.0,43.0,80640.0,1.0,,,,,1.0,1.0,2.0,2.0,"$75,000-99,999",NOT VERY STRONG DEMOCRAT
2653,2.0,1.0,35.0,45360.0,5.0,,,,,1.0,1.0,2.0,2.0,"$40,000-49,999",NOT VERY STRONG REPUBLICAN
2657,1.0,,48.0,168736.0,6.0,3.0,5.0,5.0,4.0,1.0,2.0,1.0,2.0,"$100,000-999,999",STRONG REPUBLICAN
2660,1.0,1.0,48.0,168736.0,0.0,,,,,1.0,3.0,3.0,3.0,"$100,000-999,999",STRONG DEMOCRAT
2662,2.0,,26.0,94080.0,0.0,5.0,4.0,4.0,4.0,1.0,2.0,2.0,2.0,"$75,000-99,999",STRONG DEMOCRAT
2666,2.0,,66.0,67200.0,1.0,5.0,3.0,5.0,2.0,,2.0,1.0,1.0,"$50,000-74,999",NOT VERY STRONG DEMOCRAT
2669,3.0,2.0,77.0,168736.0,0.0,,,,,1.0,3.0,3.0,3.0,"$100,000-999,999",STRONG DEMOCRAT
2672,3.0,2.0,68.0,,6.0,,,,,2.0,1.0,2.0,2.0,,STRONG REPUBLICAN
2673,2.0,,62.0,25200.0,0.0,7.0,4.0,5.0,4.0,,2.0,2.0,3.0,"$25,000-29,999",STRONG DEMOCRAT
2674,2.0,,70.0,15960.0,4.0,5.0,2.0,5.0,2.0,,2.0,2.0,1.0,"$15,000-19,999","INDEPENDENT, CLOSE TO REPUBLICAN"
2675,3.0,,42.0,9240.0,3.0,7.0,7.0,7.0,4.0,,3.0,2.0,3.0,"$9,000-9,999","INDEPENDENT (NEITHER, NO RESPONSE)"
2677,2.0,2.0,43.0,45360.0,5.0,,,,,,1.0,2.0,2.0,"$40,000-49,999",NOT VERY STRONG REPUBLICAN
2679,3.0,3.0,40.0,,7.0,,,,,,1.0,2.0,2.0,,OTHER PARTY 
2683,2.0,,68.0,45360.0,3.0,6.0,6.0,7.0,6.0,2.0,3.0,2.0,3.0,"$40,000-49,999","INDEPENDENT (NEITHER, NO RESPONSE)"
2686,3.0,1.0,65.0,10920.0,3.0,,,,,,3.0,2.0,3.0,"$10,000-10,999","INDEPENDENT (NEITHER, NO RESPONSE)"
2687,1.0,1.0,36.0,45360.0,3.0,,,,,1.0,3.0,2.0,3.0,"$40,000-49,999","INDEPENDENT (NEITHER, NO RESPONSE)"
2691,2.0,2.0,60.0,21840.0,6.0,,,,,1.0,1.0,2.0,2.0,"$20,000-24,999",STRONG REPUBLICAN
2692,2.0,,69.0,25200.0,3.0,7.0,4.0,7.0,4.0,,1.0,2.0,1.0,"$25,000-29,999","INDEPENDENT (NEITHER, NO RESPONSE)"
2694,3.0,2.0,48.0,,6.0,,,,,,3.0,2.0,3.0,,STRONG REPUBLICAN
2697,1.0,,68.0,45360.0,6.0,4.0,3.0,5.0,4.0,1.0,2.0,1.0,1.0,"$40,000-49,999",STRONG REPUBLICAN
2702,2.0,2.0,68.0,55440.0,0.0,,,,,1.0,3.0,3.0,3.0,"$50,000-74,999",STRONG DEMOCRAT
2703,1.0,2.0,34.0,45360.0,3.0,,,,,1.0,3.0,2.0,2.0,"$40,000-49,999","INDEPENDENT (NEITHER, NO RESPONSE)"
2705,3.0,,23.0,7560.0,7.0,5.0,7.0,7.0,2.0,,1.0,2.0,2.0,"$7,000-7,999",OTHER PARTY 
2710,1.0,,42.0,36960.0,4.0,5.0,5.0,6.0,5.0,1.0,1.0,2.0,2.0,"$30,000-39,999","INDEPENDENT, CLOSE TO REPUBLICAN"
2711,3.0,2.0,51.0,15960.0,0.0,,,,,,1.0,2.0,2.0,"$15,000-19,999",STRONG DEMOCRAT
2712,2.0,1.0,61.0,168736.0,2.0,,,,,2.0,1.0,2.0,2.0,"$100,000-999,999","INDEPENDENT, CLOSE TO DEMOCRAT"
2716,2.0,,60.0,12600.0,4.0,7.0,7.0,2.0,7.0,,2.0,3.0,3.0,"$12,000-14,999","INDEPENDENT, CLOSE TO REPUBLICAN"
2719,2.0,,39.0,336.0,1.0,4.0,6.0,6.0,3.0,,3.0,2.0,3.0,$1-999,NOT VERY STRONG DEMOCRAT
2726,1.0,,40.0,107520.0,2.0,7.0,5.0,5.0,4.0,1.0,2.0,3.0,3.0,"$100,000-999,999","INDEPENDENT, CLOSE TO DEMOCRAT"
2728,3.0,2.0,72.0,45360.0,5.0,,,,,,1.0,1.0,2.0,"$40,000-49,999",NOT VERY STRONG REPUBLICAN
2729,2.0,,20.0,,3.0,7.0,5.0,7.0,6.0,,3.0,3.0,3.0,,"INDEPENDENT (NEITHER, NO RESPONSE)"
2735,1.0,,67.0,45360.0,6.0,4.0,5.0,6.0,5.0,1.0,2.0,1.0,1.0,"$40,000-49,999",STRONG REPUBLICAN
2738,2.0,1.0,37.0,80640.0,4.0,,,,,1.0,1.0,1.0,1.0,"$75,000-99,999","INDEPENDENT, CLOSE TO REPUBLICAN"
2740,2.0,,63.0,45360.0,4.0,6.0,2.0,7.0,4.0,2.0,2.0,2.0,1.0,"$40,000-49,999","INDEPENDENT, CLOSE TO REPUBLICAN"
2741,2.0,,49.0,45360.0,5.0,7.0,4.0,6.0,4.0,2.0,3.0,3.0,3.0,"$40,000-49,999",NOT VERY STRONG REPUBLICAN
2749,2.0,,42.0,94080.0,6.0,7.0,3.0,3.0,3.0,1.0,3.0,3.0,3.0,"$75,000-99,999",STRONG REPUBLICAN
2752,3.0,2.0,66.0,25200.0,7.0,,,,,2.0,1.0,3.0,2.0,"$25,000-29,999",OTHER PARTY 
2753,1.0,1.0,59.0,67200.0,4.0,,,,,1.0,1.0,1.0,1.0,"$50,000-74,999","INDEPENDENT, CLOSE TO REPUBLICAN"
2754,3.0,3.0,20.0,,3.0,,,,,,3.0,2.0,3.0,,"INDEPENDENT (NEITHER, NO RESPONSE)"
2755,2.0,2.0,88.0,15960.0,3.0,,,,,,2.0,1.0,1.0,"$15,000-19,999","INDEPENDENT (NEITHER, NO RESPONSE)"
2756,3.0,2.0,58.0,67200.0,0.0,,,,,2.0,1.0,2.0,2.0,"$50,000-74,999",STRONG DEMOCRAT
2758,2.0,1.0,51.0,,3.0,,,,,1.0,1.0,2.0,2.0,,"INDEPENDENT (NEITHER, NO RESPONSE)"
2759,2.0,,27.0,80640.0,7.0,3.0,3.0,3.0,3.0,1.0,2.0,1.0,1.0,"$75,000-99,999",OTHER PARTY 
2760,2.0,2.0,23.0,,3.0,,,,,,3.0,3.0,3.0,,"INDEPENDENT (NEITHER, NO RESPONSE)"
2761,2.0,,45.0,80640.0,5.0,5.0,5.0,5.0,3.0,3.0,2.0,2.0,1.0,"$75,000-99,999",NOT VERY STRONG REPUBLICAN
2763,2.0,,61.0,15960.0,2.0,3.0,3.0,7.0,7.0,,3.0,2.0,2.0,"$15,000-19,999","INDEPENDENT, CLOSE TO DEMOCRAT"
2766,2.0,2.0,42.0,21840.0,0.0,,,,,,1.0,3.0,1.0,"$20,000-24,999",STRONG DEMOCRAT
2773,2.0,1.0,67.0,30240.0,0.0,,,,,1.0,3.0,3.0,1.0,"$30,000-39,999",STRONG DEMOCRAT
2778,2.0,2.0,75.0,55440.0,0.0,,,,,1.0,1.0,2.0,2.0,"$50,000-74,999",STRONG DEMOCRAT
2781,3.0,2.0,45.0,18480.0,2.0,,,,,3.0,2.0,2.0,1.0,"$15,000-19,999","INDEPENDENT, CLOSE TO DEMOCRAT"
2785,2.0,,,36960.0,1.0,2.0,4.0,5.0,4.0,1.0,3.0,2.0,3.0,"$30,000-39,999",NOT VERY STRONG DEMOCRAT
2791,2.0,2.0,73.0,5040.0,1.0,,,,,1.0,1.0,2.0,1.0,"$5,000-5,999",NOT VERY STRONG DEMOCRAT
2792,3.0,,34.0,18480.0,2.0,7.0,3.0,3.0,4.0,,1.0,2.0,2.0,"$15,000-19,999","INDEPENDENT, CLOSE TO DEMOCRAT"
2793,1.0,2.0,31.0,94080.0,3.0,,,,,2.0,2.0,1.0,1.0,"$75,000-99,999","INDEPENDENT (NEITHER, NO RESPONSE)"
